n-C4H5             2   357.000     5.180 	 0.000    0.000 	 1.000
C4H7               2   357.000     5.180 	 0.000    0.000 	 1.000
C4H8               2   357.000     5.176 	 0.000    0.000 	 1.000
C5H5OH             2   450.000     5.500 	 0.000    0.000 	 1.000
C6H2               1   357.000     5.180 	 0.000    0.000 	 1.000
C6H5               2   412.300     5.349 	 0.000    0.000 	 1.000
C6H5O              2   450.000     5.500 	 0.000    0.000  	 1.000
C6H5OH             2   464.8 	   5.29 	 0.00 	  10.32 	 0.000
C5H5               1   357.000     5.180 	 0.000 	  0.000 	 1.000
C5H6               1   357.000 	   5.180 	 0.000 	  0.000 	 1.000
C6H                1   357.000     5.180 	 0.000    0.000 	 1.000
A1 				   2   464.8       5.29 	 0.00 	  10.32 	 1.000
A1-                2   464.8       5.29 	 0.00     10.32 	 1.000
A1CH3 	           2   495.3 	   5.68 	 0.43     12.30 	 1.000
A1C2H              2   535.6       5.72 	 0.77     12.00 	 1.000
A1C2H*             2   535.6       5.72 	 0.77     12.00 	 1.000
A1C2H-             2   535.6       5.72 	 0.77     12.00  	 1.000
A1C2H3             2   546.2 	   6.00   	 0.13 	  15.00 	 1.000
A1C2H3*            2   546.2       6.00 	 0.13     15.00 	 1.000
C7H7               2   460.0       5.43 	 0.0 	  0.0 	     0.000
C7H8               2   495.3       5.68 	 0.43     12.3  	 0.000
n-C8H7             2   536.200     5.693 	 0.000    0.000 	 0.000
A2                 2   630.4       6.18 	 0.00     16.50 	 1.000
A2-                2   630.4       6.18 	 0.00     16.50 	 1.000
P2                 2   676.5       6.31 	 0.00     20.00 	 1.000
P2-                2   676.5       6.31 	 0.00     20.00 	 1.000
INDENYL            2   402.9       6.744 	 0.000    0.000 	 1.000
INDENE             2   402.9       6.744 	 0.000    0.000 	 1.000
A2CH3              2   658.602 	   6.335 	 0.000    0.000 	 0.000
A2CH2              2   655.890     6.320 	 0.000    0.000 	 0.000
A2R5               2   693.1       6.47 	 0.00 	  18.00 	 1.000
A2R5-              2   693.1       6.47 	 0.00     18.00 	 1.000
A2C2H              2   693.1       6.47 	 0.00     18.00 	 1.000
A2C2H*             2   693.1       6.47 	 0.00     18.00 	 1.000
A3                 2   772.0       6.96 	 0.00     38.80 	 1.000
A3-                2   837.500     7.275 	 0.000 	  0.000 	 0.000
A3C2H 	           2   879.600 	   7.561 	 0.000    0.000 	 0.000
A3C2H*             2   879.600     7.561 	 0.000    0.000 	 0.000
A3CH3              2   879.600     7.561 	 0.000    0.000 	 0.000
A3CH2              2   879.600     7.561 	 0.000    0.000 	 0.000
A4                 2   834.9 	   7.24 	 0.00     45.00 	 1.000
A4R5               2   879.600     7.561 	 0.000    0.000 	 0.000
A4-                2   834.9       7.24 	 0.00     45.00 	 1.000
A4C2H              2   776.2       7.407 	 0.000    0.000  	 1.000
A4C2H*             2   776.2       7.407 	 0.000    0.000  	 1.000
C18H12             2   879.600     7.561 	 0.000    0.000  	 0.000
C18H11             2   879.600     7.561 	 0.000    0.000  	 0.000
BAPYR              2   833.062     8.087 	 0.000    0.000  	 1.000
BAPYR*S            2   833.062     8.087 	 0.000    0.000  	 1.000
BGHIF              2   870.7 	   7.559 	 0.000    0.000  	 1.000
C8H                1   357.000     5.180 	 0.000    0.000  	 1.000
C8H2               1   357.000     5.180 	 0.000    0.000  	 1.000
